SRNO,Police Station,Address,Telephone
1,Aarey Police Station,"Near O.P.Garden, Dinkarrao Desai Marg, Aaery Colony, Near Chotta Kashmir Boating Club,Goregaon (E), Mumbai","022-29272485,022- 29272484"
2,Airport Police Station,"Airport Terminal Building, Terminal 1-B Building, Near Gate No.01, Domestic Airport, CSIA, Vileparle (E), Mumbai – 99","022-26156309, 022-26156921,022-26156315"
3,Amboli Police Station,"Patel Estate Road, Opp. Pushtikar Society, Jogeshwari (West), Mumbai – 400 102","022-26762001, 022-26762002,022-26762003"
4,Andheri Police Station,"Andheri Police Stn, Opp. Andheri Rly.Station, Vertex Junction, Andheri (E) Mumbai.","022-26831365, 022-26831447, 022-26831562"
5,Bandra Police Station,"Hill Road, Bandra (W), Mumbai – 50","022-26423122, 022-26513716"
6,Bandra Kurla Complex Police Station,"Bandra-Kurla Complex Road, Opp. I.C.I.C.I. Bank, Bandra (E), Mumbai.51","022-26504481, 022-26504482, 022-26504483"
7,Borivali Police Station,"Opp.Borivali Railway Station, S. V. Road, Borivali (W), Mumbai-92","022-28930145, 022-28902331,022- 28936606"
8,Kurla Police Station,"Kurla Police Station, Sarveshwar Mandir Marg, BKC Kurla (W), Mumbai 400070",022-26500478
9,Bhandup Police Station,"Near Krishna Theatre, L. B. S. Marg, Bhandup (W), Mumbai-78.","022-25954467, 022-25952171,022-25961971"
10,Charkop Police Station,"C.T.S. No. 03 A,Plot No.150, 152,153,155, R.D.P. 1, Netaji Subhashchandra Bose Marg, Charkop, Kandivali (w) Mumbai-67","022-28676581, 022-28682211"
11,Chembur Police Station,"Opp.Basant Park Society, R.C. Marg, Chembur ,Mumbai -400071","022-25232044, 022-25221613,022-25295677, 022-25227563"
12,Chunabhatti Police Station,"D/1 Building, Devratna Nagar, Swadeshi Mill Road, Sion, Chunnabhatti, Mumbai- 400 022","022-24050086, 022-24050084, 022-24050085"
13,D. N. Nagar Police Station,"D. N. Nagar Police Station, New Link Road, Andheri (W), Mumbai","022-26304002,022-26303893"
14,Dahisar Police Station,"S.V. Road, Near Union Bank, Dahisar (E), Mumbai-68.","022-28284024, 022-28971654"
15,Deonar Police Station,"Deonar Police Station, Behind Deonar Slaughter House, Govandi, Mumbai-400043","022-25504292, 022-25567406, 022-25568682, 022-25563381"
16,Dindoshi Police Station,"Vrindavan Soc., Behind Saibaba Temple, Near Western Exp. Highway, Malad (E), Mumbai- 400097","022-24691929, 022-28770781"
17,Ghatkopar Police Station,"Chirag Nagar, L.B.S.Road, Ghatkopar (W),Mumbai-400 086","022-25153543, 022-25113256, 022-25113968"
18,Gorai Police Station,"Gorai Outpost Chowky, Gorai Village, Borivali (W), Mumbai-91","022-28451828, 022-28450763"
19,Goregaon Police Station,"S.V.Road, Near Cinemax Theatre, Goregaon (West), Mumbai-62","022-28721900, 022-28723252"
20,Govandi Police Station,"CTS No. 373/5, HP Petrol Pump Lane, Near Raheja Acropolis-II, Off V.N Purav Marg, Devnar, Mumbai-88","022-25562171, 022-25562172, 022-25562173"
21,Jogeshwari Police Station,"Swami compound, Caves Road,Jogeshwari (East), Mumbai-60.","022-28221672, 022-28210763"
22,Juhu Police Station,"V M ROAD, NEAR KALANIKETAN SHOP, VILE PARLE WEST, MUMBAI 400 056","022-26184308, 022-26184432, 022-26183856"
23,Kandivali Police Station,"S.V.Road, Near M.T.N.L. Office, Parekh Nagar, Kandivali (W), Mumbai – 400 067","022-28050904, 022-28056603"
24,Kanjurmarg Police Station,"Near Pariwar Co-Opp-Housing Society, Parshuram Godbole Marg, Kanjur Marg ( East), Mumbai-42.","022-25782637, 022-25780753, 022-25782636, 022-25783999"
25,Kasturba Police Statio,"Main Kasturba Road, Near Railway Station, Borivali (E), Mumbai-400066.","022-28066158, 022-28657919"
26,Khar Police Station,"S.V. Road, Khar-West, Mumbai-400052","022-26494977, 022-26496030, 022-26000450"
27,Kherwadi Police Station,"Government Colony, Building No. 5, Ground floor, Bandra (E) Mumbai – 51","022-26570877, 022-26571216"
28,Kurar Police Station,"Near Shantaram Talao, Western Express Highway, Malad (E), Mumbai-400097.","022-28402911, 022-28490444"
29,M I D C Police Station,"MIDC Central Road, Opp E.S.I.S Hospital, Andheri (E), Mumbai-93","022-28361324, 022-28368352, 022-28394205"
30,M.H.B. Colony Police Station,"Old. M.H.B Colony, Near Borivali Main Post Office, New Link Road, Borivali (W), Mumbai","022-28677401, 022-28679323, 022-28677402"
31,Malad Police Station,"Malad Police Station, Underai Road, Malad (W)","022-28821147, 022-28821482"
32,Malwani Police Station,"Gate No.5, Shahid Abdul Hamid Marg Malwani, Malad (W), Mumbai-400095","022-28827557, 022-28810048, 022-28821319"
33,Mankhurd Police Station,"Building No.7/A, Lalubhai Compound, Mankhurd, Mumbai-43","022-25554511,022- 25554515, 022-25574933"
34,Meghwadi Police Station,"Income Tax Colony, Jogeshwari (E), Mumbai – 60.","022-28210860, 022-28210837,022-28221651"
35,Mulund Police Station,"Purushottam Khemraj Bhavan, Netaji Subhash Road, Mulund (W), Mumbai-80.","022-25684535,022-25689844"
36,Mumbai Sagari-2 Police Station,"Shubhangan’ C.T.S. No. 194 (PT), Mhada, Plot No. 214-234, Gorai-2, Borivali Village, Borivali (West), Mumbai-400092.",022-28699934
37,Navghar Police Station,"Navghar Police Station, Navghar, Mulund (E), Mumbai","022-25631062, 022-25637314, 022-25636368"
38,Nehru Nagar Police Station,"Nehru Nagar Police Station, Nehru Nagar Colony, Kurla (E), Mumbai-24","022-25224291, 022-25224647,022-25290946"
39,Nirmal Nagar Police Station,"J.P.Road, Khar(East),Mumbai-51","022-26479372, 022-26470871"
40,Oshiwara Police Station,"New Link Road, Opposite Mhada, Oshiwara, Jogeshwari (East), Mumbai","022-26322753, 022-26323861, 022-26323862"
41,Pant Nagar Police Station,"B.N.72, Ground Floor, Swamy Samarth Ramdas Rd. Pant Nagar, Ghatkopar (East), Mumbai, 400 075","022-25013624, 022-21028914"
42,Parksite Police Station,"Parksite Police Station , Ahilayabai Holkar Marg, Surya Nagar, Vikhroli (W), Mumbai – 400 083.","022-25789368, 022-25786518, 022-25784840"
43,Powai Police Station,"Rambaug Junction, Jogeshwari-Vikroli Link Road, Powai, Mumbai -76.","022-25702690, 022-25702863, 022-25700218"
44,R.C.F. Police Station,"Survey No 12 B, 13 B, CTS No 213, 215, 216, Rc Marg, Chembur, Mumbai – 74.","022-25541991,022-25541690"
45,Sahar Police Station,"Near Indian Oil Depot, Opposite Hotel Hayyat Regency, Sahar Airport Road, Andheri (E), Mumbai -99.","022-26829784, 022-26817485, 022-26829783"
46,Sakinaka Police Station,"Chandivali Mhada Colony, Bldg. No. 28/B,C Sakinaka, Mumbai – 72.","022-28472334,022-28474411,022-28473936"
47,Samta Nagar Police Station,"Near Sports Authority of India, Western Express Highway, Kandivli (East), Mumbai-101.","022-28877618, 022-28876119"
48,Santacruz Police Station,"Opposite Juhu Garden, Link Road, Santacruz (W), Mumbai-54.","022-26493139, 022-26487856, 022-26492972"
49,Shivaji Nagar Police Station,"Near Dnyansampada High School, Behind Post Office, Govandi, Mumbai- 43","022-25580506, 022-25560402"
50,Tilak Nagar Police Station,"Building No. 117, Tilaknagar Colony, Shanta Jog Marg, Chembur, Mumbai- 89","022-25229345, 022-25227293, 022-25275828"
51,Trombay Police Station,"Cheeta Camp, Sion-Trombay Road, Mumbai -400088",022-25563382
52,Vakola Police Station,"Anand Sangam CHS, Building No.1, Nehru Road, Anand Nagar, Behind Western Highway, Santacruz (E), Mumbai – 55.","022-26682756, 022-26685236"
53,Vanrai Police Station,"Building Nos. 2,Mhada vanrai Colony, Goregaon (E) Mumbai-63","022-26861677, 022-26862933"
54,Versova Police Station,"Versova Police Station., Near C.D.Barfiwalla School, D.N. Nagar, Link Road, Andheri (West),, Mumbai. 400 053","022-26365420, 022-26304812"
55,Vikhroli Police Station,"Kannamwar Nagar 2, Near Vikas College, Vikhroli (E), Mumbai-83","022-25789366, 022-25782189, 022-25782240"
56,Vileparle Police Station,"Near Centuar Hotel, Nehru Road (ext.), Vileparle (E), Mumbai-99",022-26117317
57,Vinoba Bhave Nagar Police Station,"H.I.G Colony, BLD NO. 7 Kohonoor Co.op Hs . Society. V.B Nagar, Kurla (W), Mumbai – 70.","022-26500298, 022-26500299"
